Lon     Lat     H       +-      Hcorr   Tdis    +-      Strike  +-      Dip     +-      AzConv  +-      Vtot    +-      Vc      +-      Age     +-      DesRat  +-      Phi/100 +-      MeanDis Thick   ef      NTot    %Below  MaxDep  Vsource PltPair         ASource Name                            Short
deg     deg     km      -       km      km      -       deg     -       deg     -       deg     +-      km/Ma   -       km/Ma   -       Ma      -       km/Ma   -       km      -       km      km      km      .       .       km      .       .               .       .                               .
-76.58  2.12    NULL    NULL    NULL    289.3   8.6     202.1   4.5     32.7    1.9     78.3    0.6     66.7    0.7     54.9    2.3     13.3    1.3     29.3    0.7     3.9     0.4     16.3    40.4    4.0     18      94      187.1   1       NZCA-SOAM       8       Colombia                        CO
-78.61  -1.78   NULL    NULL    NULL    303.3   43.7    185.0   0.0     19.3    4.7     80.0    0.0     69.4    0.4     67.0    0.4     18.0    1.2     22.2    4.8     4.0     0.6     22.6    49.2    5.6     55      98      644.3   1       NZCA-SOAM       8       Ecuador                         EC
-79.00  -6.8    NULL    NULL    NULL    NULL    NULL    160.0   14.1    10.0    0.4     80.7    0.5     72.9    0.7     69.5    3.1     29.0    0.4     12.0    0.7     3.5     0.5     13.5    48      6.3     81      95      642.0   1       NZCA-SOAM       8       North_Peru_Gap                  NPG
-76.80  -11.2   NULL    NULL    NULL    NULL    NULL    142.1   4.0     11.7    1.0     79.8    0.3     75.6    0.7     66.7    2.8     33.9    4.0     13.6    1.7     4.7     1.0     19.5    50.8    5.7     102     92      643.1   1       NZCA-SOAM       8       Cental_Peru_Gap                 CPG
-70.85  -16.61  99.6    3.8     114.3   260.7   9.2     133.9   4.3     28.7    1.0     77.0    0.4     78.4    0.2     65.1    3.2     42.1    0.9     31.4    4.4     13.4    2.1     16.2    47.2    6.4     139     91      251.3   1       NZCA-SOAM       8       Peru                            PE
-68.63  -20.83  112.5   5.6     127.5   294.3   13.9    171.4   3.3     29.3    1.0     76.0    0.0     79.9    0.1     79.0    0.5     46.2    0.6     38.7    1.1     17.8    0.7     14.8    32.4    6.6     498     98      290.7   1       NZCA-SOAM       8       North_Chile                     NC
-68.53  -24.72  109.8   7.1     123.0   306.2   15.4    182.1   2.0     23.6    1.9     76.0    0.0     80.7    0.4     77.4    0.7     42.8    0.6     30.9    2.4     13.3    1.2     12.9    34.4    6.0     253     94      273.9   1       NZCA-SOAM       8       North-Central_Chile             NCC
-69.5   -30.00  NULL    NULL    NULL    NULL    NULL    189.8   4.7     14.1    1.9     76.6    0.2     81.1    0.1     73.8    2.2     37.7    1.4     17.8    1.8     6.7     0.5     19.1    45.6    5.3     306     96      189.3   1       NZCA-SOAM       8       Central_Chile_Gap               CCG
-70.57  -35.24  102.9   6.1     114.4   265.0   7.0     194.8   2.3     27.5    0.8     77.2    0.2     81.0    0.2     71.6    1.5     32.4    0.8     33.1    1.4     10.7    0.3     10.6    20.8    5.1     59      100     185.4   1       NZCA-SOAM       8       Central_Chile                   CC
