Lon     Lat     H       Tdis    Strike  Dip     AZconv  Vtot    Vcorr   Age     DesRat  Phi/100 Front   Name                              ArcName
144.90  20.53   128     190     -31     60      -67     30.2    17.7    148.0   15.3    22.7    y       FARALLON_DE_PAJAROS(URACAS)       North_Marianas
145.10  20.13   139     200     -33     61      -69     31.6    18.8    148.0   16.4    24.2    y       SUPPLY_REEF                       North_Marianas
145.00  20.10   162     200     -33     61      -69     31.9    18.7    148.0   16.3    24.1    y       MAUG                              North_Marianas
145.40  19.67   129     200     -16     61      -73     33.2    27.8    149.0   24.3    36.2    y       ASUNCION                          South_Marianas
145.67  18.77   117     215     -17     61      -76     36.9    31.7    149.0   27.8    41.4    y       AGRIGAN                           South_Marianas
145.80  18.13   119     225     -8      58      -78     39.6    37.3    150.0   31.6    47.3    y       PAGAN                             South_Marianas
145.83  17.60   125     230     -5      58      -79     42.0    40.3    151.0   34.1    51.5    y       ALAMAGAN                          South_Marianas
145.85  17.32   124     230     -2      58      -79     43.2    42.2    151.0   35.6    53.8    y       GUGUAN                            South_Marianas
145.78  16.71   135     240     4       58      -79     46.0    45.7    152.0   38.7    58.8    y       SARIGAN                           South_Marianas
145.67  16.35   160     235     9       55      -79     47.7    47.7    153.0   39.1    59.9    y       ANATAHAN                          South_Marianas
145.57  15.62   132     215     13      54      -80     51.1    51.0    154.0   41.3    63.6    y       RUBY                              South_Marianas
145.25  15.00   167     215     20      49      -79     54.1    53.5    155.0   40.5    62.8    y       ESMERALDA_BANK                    South_Marianas
147.88  -5.59   143     170     98      71      -11     58.3    51.1    NULL    48.3    NULL    y       UMBOI                             New_Britain
148.12  -5.52   230     185     95      72      -11     63.3    61.3    NULL    58.3    NULL    y       RITTER_ISLAND                     New_Britain
148.42  -5.53   226     190     86      73      -10     69.1    67.4    NULL    64.5    NULL    y       LANGILA                           New_Britain
150.03  -5.45   131     170     80      71      -8      100.7   100.7   NULL    95.2    NULL    y       GARBUNA_GROUP                     New_Britain
150.09  -5.27   228     190     80      72      -10     102.4   102.4   NULL    97.4    NULL    n       GARUA_HARBOUR                     New_Britain
150.52  -5.58   67      130     74      72      -6      110.0   108.2   NULL    102.9   NULL    y       PAGO                              New_Britain
150.90  -5.53   53      120     68      70      -6      117.5   112.6   NULL    105.8   NULL    y       WALO                              New_Britain
151.10  -5.33   72      130     66      69      -8      121.9   118.0   NULL    110.2   NULL    y       HARGY                             New_Britain
